AN924_RS09905	NZ_CP012731.1	100.000	399	0	0	1	399	1981321	1980125	0.0	838
AN924_RS09905	NZ_CP012731.1	52.756	381	179	1	6	386	1932540	1931401	9.50e-134	423
AN924_RS09905	NZ_CP012731.1	24.518	363	235	13	26	364	1077568	1076525	8.64e-16	80.1
AN924_RS09905	NZ_CP012731.1	26.959	319	195	15	67	370	1458331	1457444	2.89e-15	78.6
AN924_RS09905	NZ_CP012731.1	22.667	375	247	12	16	364	246890	247963	1.32e-14	76.3
AN924_RS09905	NZ_CP012731.1	27.530	247	165	6	139	377	963052	963774	7.13e-14	73.9
AN924_RS09905	NZ_ALMQ01000002.1	100.000	399	0	0	1	399	80363	79167	0.0	838
AN924_RS09905	NZ_CZEB01000022.1	98.997	399	4	0	1	399	76553	75357	0.0	832
AN924_RS09905	NZ_LBKI01000025.1	97.744	399	9	0	1	399	25396	26592	0.0	822
AN924_RS09905	NZ_LBKH01000067.1	97.744	399	9	0	1	399	8401	9597	0.0	822
AN924_RS09905	NZ_FIFQ01000003.1	97.744	399	9	0	1	399	52169	53365	0.0	822
AN924_RS09905	NZ_CEDZ01000013.1	97.744	399	9	0	1	399	52154	53350	0.0	822
AN924_RS09905	NZ_ALKT01000054.1	97.744	399	9	0	1	399	116791	117987	0.0	822
AN924_RS09905	NZ_CP024974.1	97.744	399	9	0	1	399	1281264	1280068	0.0	821
AN924_RS09905	NZ_CP024974.1	37.922	385	227	4	8	381	879365	880516	2.44e-83	278
AN924_RS09905	NZ_CP024974.1	28.933	356	204	15	29	358	861101	860103	8.99e-20	92.4
AN924_RS09905	NZ_CP024974.1	26.629	353	220	14	27	364	1172215	1171229	2.31e-19	90.9
AN924_RS09905	NZ_CP024974.1	26.437	348	218	15	67	399	2045149	2046123	7.69e-16	80.1
AN924_RS09905	NZ_CP024974.1	24.518	363	235	13	26	364	2506803	2507846	8.97e-15	77.0
AN924_RS09905	NZ_AEYY01000049.1	97.744	399	9	0	1	399	57985	56789	0.0	821
AN924_RS09905	NZ_AEYY01000049.1	97.475	396	10	0	1	396	113827	112640	0.0	813
AN924_RS09905	NZ_MBLK01000033.1	97.494	399	10	0	1	399	192079	193275	0.0	820
